Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent
95041,ZCTA5 95041,410.0,33.8,-666666666.0,19134.0,11.0,2.682926829268293,627.0
95043,ZCTA5 95043,734.0,44.6,64167.0,30745.0,149.0,20.29972752043597,1034.0
95045,ZCTA5 95045,4475.0,45.5,53889.0,28238.0,708.0,15.82122905027933,1099.0
95046,ZCTA5 95046,6299.0,45.8,109353.0,42009.0,570.0,9.04905540561994,1544.0
95050,ZCTA5 95050,38482.0,33.8,80324.0,39310.0,5387.0,13.998752663582973,1565.0
95051,ZCTA5 95051,55634.0,36.0,106527.0,46807.0,2905.0,5.221627062587626,1888.0
95053,ZCTA5 95053,3222.0,19.3,-666666666.0,4945.0,0.0,0.0,-666666666.0
95054,ZCTA5 95054,24718.0,32.9,132538.0,52587.0,1399.0,5.6598430293713085,2293.0
95060,ZCTA5 95060,47227.0,35.2,62145.0,38071.0,11638.0,24.642683210875134,1413.0
95062,ZCTA5 95062,37365.0,39.1,63492.0,34712.0,5955.0,15.937374548374146,1448.0
95064,ZCTA5 95064,9692.0,19.5,40972.0,5342.0,343.0,3.539001238134544,1534.0
95065,ZCTA5 95065,8551.0,43.3,92336.0,46044.0,611.0,7.145363115425097,1888.0
95066,ZCTA5 95066,15642.0,41.7,108581.0,52910.0,805.0,5.1464007160209695,1749.0
95070,ZCTA5 95070,31268.0,48.6,169986.0,79791.0,1385.0,4.429448637584751,2308.0
95073,ZCTA5 95073,11407.0,45.2,81392.0,39854.0,1560.0,13.675813097221004,1244.0
95075,ZCTA5 95075,390.0,43.8,64444.0,36869.0,9.0,2.3076923076923075,1625.0
95076,ZCTA5 95076,85678.0,32.1,58271.0,21816.0,13774.0,16.0764723733047,1196.0
95110,ZCTA5 95110,19270.0,31.1,69623.0,33047.0,3693.0,19.164504411001555,1567.0
95111,ZCTA5 95111,64247.0,32.7,61630.0,20562.0,10705.0,16.66225660342117,1253.0
95112,ZCTA5 95112,61583.0,29.7,56495.0,28124.0,11992.0,19.472906483932253,1289.0
95113,ZCTA5 95113,1332.0,35.2,96711.0,66952.0,377.0,28.303303303303302,2000.0
95116,ZCTA5 95116,55249.0,32.6,51399.0,18868.0,10474.0,18.95780919111658,1229.0
95117,ZCTA5 95117,30686.0,34.6,71841.0,37198.0,3873.0,12.621390862282475,1532.0
95118,ZCTA5 95118,31869.0,38.9,97513.0,44186.0,2932.0,9.200163167968872,1612.0
95119,ZCTA5 95119,10617.0,37.6,115588.0,37174.0,887.0,8.354525760572667,1943.0
95120,ZCTA5 95120,37784.0,45.3,161817.0,66071.0,1067.0,2.823946644082151,2341.0
95121,ZCTA5 95121,38445.0,38.2,88877.0,30013.0,3631.0,9.444661204317857,1729.0
95122,ZCTA5 95122,58437.0,32.1,62595.0,18499.0,10225.0,17.49747591423242,1475.0
95123,ZCTA5 95123,66500.0,37.2,97178.0,38950.0,4164.0,6.261654135338346,1869.0
95124,ZCTA5 95124,49156.0,39.7,117627.0,50734.0,2249.0,4.575229880380828,1688.0
95125,ZCTA5 95125,53896.0,41.2,106995.0,59008.0,4116.0,7.636930384444114,1529.0
95126,ZCTA5 95126,35330.0,34.5,77734.0,46750.0,4979.0,14.092838947070478,1491.0
95127,ZCTA5 95127,66282.0,34.2,78362.0,26349.0,7744.0,11.68341329471048,1568.0
95128,ZCTA5 95128,36807.0,36.5,76894.0,41203.0,4101.0,11.141902355530197,1461.0
95129,ZCTA5 95129,40325.0,40.1,119032.0,50565.0,2245.0,5.567265964042157,1773.0
95130,ZCTA5 95130,14206.0,38.0,98179.0,45886.0,788.0,5.546951992116007,1419.0
95131,ZCTA5 95131,30027.0,36.7,108246.0,42743.0,2136.0,7.113597762014187,1995.0
95132,ZCTA5 95132,40414.0,40.4,99163.0,34987.0,3267.0,8.083832335329342,1887.0
95133,ZCTA5 95133,27431.0,37.2,73141.0,28359.0,4054.0,14.778899784914877,1383.0
95134,ZCTA5 95134,21010.0,31.3,126515.0,59630.0,1535.0,7.306044740599714,2366.0
95135,ZCTA5 95135,21957.0,45.7,129923.0,50425.0,1025.0,4.66821514778886,2221.0
95136,ZCTA5 95136,44386.0,36.2,87774.0,40137.0,3327.0,7.495606722840535,1777.0
95138,ZCTA5 95138,19503.0,39.8,152284.0,60558.0,763.0,3.912218633030816,2089.0
95139,ZCTA5 95139,7085.0,38.6,120177.0,41688.0,281.0,3.9661256175017643,1842.0
95140,ZCTA5 95140,273.0,43.9,-666666666.0,45577.0,3.0,1.098901098901099,768.0
95148,ZCTA5 95148,48201.0,38.6,113028.0,33620.0,3357.0,6.964585796975166,1994.0
95202,ZCTA5 95202,6559.0,33.3,14758.0,11765.0,3173.0,48.37627687147431,531.0
95203,ZCTA5 95203,15489.0,32.3,35719.0,17477.0,5272.0,34.0370585576861,691.0
95204,ZCTA5 95204,28124.0,37.7,44306.0,23931.0,5300.0,18.84511449295975,785.0
95205,ZCTA5 95205,37362.0,30.1,33269.0,12684.0,12242.0,32.76591188908517,735.0
95206,ZCTA5 95206,65151.0,29.1,42328.0,14364.0,18049.0,27.703335328697946,889.0
95207,ZCTA5 95207,49632.0,32.4,39219.0,20871.0,11445.0,23.059719535783366,775.0
95209,ZCTA5 95209,43362.0,35.0,72461.0,26125.0,6111.0,14.092984640929846,1036.0
95210,ZCTA5 95210,40718.0,30.6,37689.0,15896.0,11232.0,27.584851908246968,846.0
95211,ZCTA5 95211,1665.0,19.4,-666666666.0,1595.0,0.0,0.0,-666666666.0
95212,ZCTA5 95212,26094.0,31.9,77928.0,24997.0,2093.0,8.021000996397639,1281.0
95215,ZCTA5 95215,23635.0,33.4,42991.0,18128.0,5883.0,24.891051406811933,781.0
95219,ZCTA5 95219,29506.0,37.5,76582.0,41971.0,3888.0,13.176980953026503,988.0
95220,ZCTA5 95220,7371.0,44.3,61486.0,30755.0,677.0,9.18464251797585,1026.0
95222,ZCTA5 95222,4976.0,51.7,48724.0,31337.0,839.0,16.860932475884244,707.0
95223,ZCTA5 95223,2884.0,57.4,53333.0,39655.0,197.0,6.830790568654646,860.0
95224,ZCTA5 95224,228.0,64.7,19357.0,29113.0,66.0,28.94736842105263,-666666666.0
95225,ZCTA5 95225,609.0,46.9,56367.0,19121.0,164.0,26.929392446633827,-666666666.0
95226,ZCTA5 95226,14.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0
95227,ZCTA5 95227,805.0,41.0,83900.0,30619.0,209.0,25.96273291925466,-666666666.0
95228,ZCTA5 95228,4498.0,46.1,71786.0,34065.0,436.0,9.69319697643397,1184.0
95230,ZCTA5 95230,869.0,42.0,47865.0,22633.0,166.0,19.102416570771002,-666666666.0
95231,ZCTA5 95231,4806.0,30.8,35833.0,11887.0,747.0,15.543071161048688,789.0
