City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
New York,NY,New York,Queens,561000,564100,566900,569400,571400,573400,575700,579700,584500,589100,594100,600100
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,560100,563500,566400,569600,572400,575200,579200,585000,591400,595900,599800,604900
Chicago,IL,Chicago,Cook,204400,205200,206500,208400,209900,210900,211900,213500,214600,215600,217100,218200
Houston,TX,Houston,Harris,146800,148000,149000,149900,151000,152600,154300,155800,157200,158600,159900,161300
Philadelphia,PA,Philadelphia,Philadelphia,111200,112000,113100,114100,115300,116900,118700,120600,122300,123700,125200,126600
Phoenix,AZ,Phoenix,Maricopa,186200,187400,188600,189900,191200,192700,194700,196700,198200,199700,201700,203500
Las Vegas,NV,Las Vegas,Clark,195600,196600,197900,199400,200600,201700,203200,205000,206800,208600,210100,211400
San Antonio,TX,San Antonio,Bexar,137900,138500,138900,139800,140800,141400,142100,143300,144300,145000,145900,147200
San Diego,CA,San Diego,San Diego,529700,532600,534200,536600,538800,540000,541900,545200,548800,552300,556700,560500
Dallas,TX,Dallas-Fort Worth,Dallas,124600,125300,126700,128600,130900,133600,136700,139600,142400,145300,148200,150800
San Jose,CA,San Jose,Santa Clara,812300,816500,820800,824600,826300,826700,827900,830200,834200,839200,845600,854900
Jacksonville,FL,Jacksonville,Duval,126100,127100,128200,129800,131300,132600,133800,134900,135400,136400,138400,140800
San Francisco,CA,San Francisco,San Francisco,1141600,1147300,1148900,1146800,1144000,1142000,1139300,1138700,1144400,1152600,1160300,1169200
Indianapolis,IN,Indianapolis,Marion,105500,106600,107700,108800,109800,111000,112000,112800,113600,114300,114700,115100
Austin,TX,Austin,Travis,287500,289300,291600,294400,296800,299500,302400,305100,307500,310200,312800,314900
Fort Worth,TX,Dallas-Fort Worth,Tarrant,139600,140600,141600,142800,144300,145600,146800,148100,149600,151100,152600,154100
Columbus,OH,Columbus,Franklin,117300,117300,117600,118300,119200,120200,121500,123000,124500,125500,126000,126500
Memphis,TN,Memphis,Shelby,59400,59500,60000,61000,62300,63500,64500,65600,67100,68700,70100,71300
Charlotte,NC,Charlotte,Mecklenburg,165000,165900,167300,169000,170300,171400,172500,173700,175300,177300,179100,180800
El Paso,TX,El Paso,El Paso,115400,115000,114700,114400,114300,114300,114400,114300,114600,115300,115900,116300
Boston,MA,Boston,Suffolk,471000,474700,477600,480800,483800,487200,491500,496400,500800,504700,509000,515700
Seattle,WA,Seattle,King,555900,562300,569800,577600,585600,594300,602300,608600,614300,621200,628600,635100
Baltimore,MD,Baltimore,Baltimore City,79900,80300,80900,81400,81800,82200,83100,84300,85700,87500,89300,89900
Denver,CO,Denver,Denver,334800,336800,338700,341000,344100,347800,351900,355600,359100,362900,366600,369900
Washington,DC,Washington,District of Columbia,483900,484500,487300,492200,497200,501800,505700,508400,510200,514200,520900,528100
Nashville,TN,Nashville,Davidson,191500,193500,195800,198200,200500,202600,205200,207700,210200,212500,214900,217900
Milwaukee,WI,Milwaukee,Milwaukee,91100,90900,91100,91600,92300,92900,93600,94400,95500,96600,97600,98300
Tucson,AZ,Tucson,Pima,150400,151000,152200,153600,154400,155200,156400,157900,159300,160500,161100,161300
Portland,OR,Portland,Multnomah,360800,363400,367300,373700,381000,387900,392900,395500,397800,400700,405200,410600
Oklahoma City,OK,Oklahoma City,Oklahoma,106600,107600,109000,110400,111500,112700,114200,115500,116400,117300,118300,119500
Omaha,NE,Omaha,Douglas,142200,142700,143400,144100,144500,144700,145600,146900,147700,148300,148700,149200
Albuquerque,NM,Albuquerque,Bernalillo,177000,176700,176800,177200,177400,177800,178200,178400,178700,179500,180600,181600
Fresno,CA,Fresno,Fresno,189200,190100,191000,192400,193900,194600,195200,196700,198700,200200,201600,203500
Sacramento,CA,Sacramento,Sacramento,249900,251900,254800,258600,261500,263700,266400,269000,271400,274100,275900,277200
Mesa,AZ,Phoenix,Maricopa,196600,197300,198300,199800,201100,202200,203700,205800,207600,209300,211200,212700
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,502800,506500,509700,513200,515500,516600,518500,521500,525200,528300,531900,536100
Kansas City,MO,Kansas City,Jackson,112600,113300,113800,114200,115100,116200,117300,118000,118500,119300,120200,120800
Virginia Beach,VA,Virginia Beach,Virginia Beach City,244100,243500,243800,244600,245000,245800,247200,248400,248900,249600,251200,252700
Colorado Springs,CO,Colorado Springs,El Paso,220400,222100,224200,226100,227800,229400,231000,232700,234400,235700,237000,238600
Atlanta,GA,Atlanta,Fulton,167200,169400,172600,176900,180800,184500,189000,193500,196900,200100,203000,205700
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,272500,274800,277200,278400,279300,283400,289100,291500,292500,295700,299400,302000
Oakland,CA,San Francisco,Alameda,590100,594900,601700,610200,618500,622800,626500,629800,633300,637400,643600,651300
Tulsa,OK,Tulsa,Tulsa,100000,100600,100900,101200,101200,101400,101800,102600,103700,105100,106400,107500
Cleveland,OH,Cleveland,Cuyahoga,38900,39200,39800,40300,40400,40300,40400,40800,41100,41000,40900,41100
Honolulu,HI,Urban Honolulu,Honolulu,590100,593800,598100,602900,607900,611400,614400,616800,618700,620600,626700,634000
Minneapolis,MN,Minneapolis-St Paul,Hennepin,212300,214500,216600,218400,219500,221200,222900,224100,225500,227100,228200,229900
Baton Rouge,LA,Baton Rouge,East Baton Rouge,145500,146000,147000,148000,148500,148700,149200,149900,150200,149600,148400,147400
New Orleans,LA,New Orleans,Orleans,159800,161300,162300,163600,165400,167500,169200,170600,171700,172900,173800,174700
Arlington,TX,Dallas-Fort Worth,Tarrant,149500,151000,152300,153500,155100,156900,158800,160600,162400,164300,166300,168100
Raleigh,NC,Raleigh,Wake,223600,224700,225400,226400,227700,229300,231000,232700,234600,236300,237800,239300
Wichita,KS,Wichita,Sedgwick,105600,105900,106000,106100,106400,106700,107000,107300,108000,108700,109700,110800
Tampa,FL,Tampa,Hillsborough,142400,144000,145900,148500,151500,154400,157000,159400,162300,165900,168900,171800
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,507400,509100,511100,514000,517000,520600,524800,529300,533400,537600,541400,544200
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,447000,447900,448900,450500,452200,454400,457300,460700,463800,467500,471400,474400
Aurora,CO,Denver,Arapahoe,250400,252900,254900,257100,259400,261400,263400,265600,267800,270000,272200,274700
Saint Louis,MO,St. Louis,Saint Louis City,101500,102700,103900,105000,105800,107100,108700,110000,110800,111500,111800,111300
Corpus Christi,TX,Corpus Christi,Nueces,132300,133200,134100,134600,135000,135300,135800,136700,137500,137900,138500,139400
Cincinnati,OH,Cincinnati,Hamilton,112400,112400,111900,111800,112300,113200,114000,114900,116200,117500,118700,119500
Pittsburgh,PA,Pittsburgh,Allegheny,106300,107900,109400,110500,111500,112900,113900,114700,115500,116600,117600,118400
Riverside,CA,Riverside,Riverside,329200,329900,330800,332900,335900,339600,342900,345100,346800,349900,353200,354800
Marietta,GA,Atlanta,Cobb,225200,226800,228300,230100,232000,234300,236900,239700,242700,245600,247600,248400
Anchorage,AK,Anchorage,Anchorage,338000,338400,338700,339100,339800,340600,341300,341600,340900,339800,338800,338400
Bakersfield,CA,Bakersfield,Kern,214700,214600,214600,214600,214900,215700,216200,216000,216100,216900,218000,218600
Saint Paul,MN,Minneapolis-St Paul,Ramsey,172900,174000,175100,175600,176200,177100,178600,180700,182900,184700,186000,187800
Toledo,OH,Toledo,Lucas,58200,58200,58400,58400,58100,58000,58100,58500,59000,59300,59500,59900
Silver Spring,MD,Washington,Montgomery,366400,365800,366200,368200,370300,371800,373000,374100,375200,377400,379300,380100
Lexington,KY,Lexington,Fayette,151700,152600,153500,154300,154800,155400,156300,157100,157900,158700,159800,160300
Newark,NJ,New York,Essex,160300,160800,161900,162200,161600,161000,161500,162000,162400,163000,162700,162300
Tallahassee,FL,Tallahassee,Leon,155300,156000,155900,156100,156800,157400,157800,158300,158700,159300,160100,161000
Stockton,CA,Stockton,San Joaquin,220800,222900,225100,227400,229200,230900,232600,234300,236100,238800,242100,244400
Plano,TX,Dallas-Fort Worth,Collin,266500,268400,271100,274300,278000,282100,285800,288400,290500,292400,294700,297500
Buffalo,NY,Buffalo,Erie,58300,58400,59000,59600,59900,60100,60800,61500,61800,62100,62600,63200
Chandler,AZ,Phoenix,Maricopa,263100,263600,264100,264700,265300,266400,267800,269400,270400,271600,273400,274500
Louisville,KY,Louisville/Jefferson County,Jefferson,133300,134000,134600,135300,135700,136200,137200,138400,139200,140100,141200,142000
Henderson,NV,Las Vegas,Clark,252600,253700,254800,256300,257800,258900,260000,261300,262600,264200,265900,267300
Modesto,CA,Modesto,Stanislaus,227400,230100,231400,231700,233500,236300,239200,241500,243700,246400,248900,250000
Mobile,AL,Mobile,Mobile,96300,96400,96400,96800,97500,98300,98900,100000,101600,103100,104100,105000
Jersey City,NJ,New York,Hudson,300400,302200,303100,305200,308000,311000,315300,319700,323300,326600,330200,334000
Lubbock,TX,Lubbock,Lubbock,115900,116700,117700,118900,120100,120500,121100,122000,122800,123200,123700,124400
Glendale,AZ,Phoenix,Maricopa,180300,181200,182100,183300,184700,186400,188200,190200,191800,193400,195100,196700
Durham,NC,Durham,Durham,171000,172000,173100,174400,175500,176500,177800,179400,181100,182400,183500,184500
Orlando,FL,Orlando,Orange,174300,175400,177100,179300,181400,183200,185200,187400,189600,192000,194900,197900
Norfolk,VA,Virginia Beach,Norfolk City,160300,160400,160400,160400,160900,161900,163000,164100,165500,166800,168100,169200
Saint Petersburg,FL,Tampa,Pinellas,144600,145500,146800,148200,149600,151400,153400,155300,157400,160400,163900,167400
Pensacola,FL,Pensacola,Escambia,94900,95500,96100,96600,96900,97300,98000,99500,101900,104400,106800,109300
Fort Wayne,IN,Fort Wayne,Allen,102300,102500,102900,103500,103900,104100,104500,105200,106400,108000,109700,110600
Greensboro,NC,,Guilford,117800,118100,118600,119300,119900,120800,121900,122900,123800,124700,125500,126100
Lincoln,NE,Lincoln,Lancaster,151600,152100,152600,153200,154000,154900,155800,157000,158100,159000,159500,159600
San Bernardino,CA,Riverside,San Bernardino,218600,220200,222300,224600,226600,228600,231000,233400,235300,237100,238300,239200
Corona,CA,Riverside,Riverside,418400,418900,419700,421300,422900,425400,428100,429700,430800,433800,436800,437700
Chula Vista,CA,San Diego,San Diego,452300,454500,455700,457700,459600,460800,462700,465900,468600,470900,473900,477200
Chesapeake,VA,Virginia Beach,Chesapeake City,242500,243400,243900,244400,245000,245800,246300,246500,247100,248100,248700,249100
Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,183800,186200,189100,191600,194200,197600,201700,205200,209000,213700,218700,223400
Madison,WI,Madison,Dane,199400,200000,200500,201600,203400,206100,209300,212100,213900,215900,218000,219600
Garland,TX,Dallas-Fort Worth,Dallas,130900,132200,133800,135500,137500,140100,143100,145500,147600,150000,152300,154200
Fontana,CA,Riverside,San Bernardino,319800,322300,324300,326200,327800,329200,331000,333600,335800,338100,339800,341400
Fort Myers,FL,Fort Myers,Lee,183100,184200,185300,186500,187900,189500,191400,193200,195000,196600,198100,198900
Knoxville,TN,Knoxville,Knox,134700,134600,134900,135400,136000,136800,138000,139500,141100,142500,143400,144200
Laredo,TX,Laredo,Webb,123700,124000,124500,124900,125500,126100,126700,127300,128300,129600,130900,131700
North Las Vegas,NV,Las Vegas,Clark,178300,179100,180100,181400,182600,183600,184900,186600,188300,190000,191700,193000
Lawrenceville,GA,Atlanta,Gwinnett,165500,166300,167200,168500,169900,171100,172700,174500,176100,177300,178400,179500
Fremont,CA,San Francisco,Alameda,881800,886400,890100,894800,898000,897600,899300,902300,905900,910200,915500,921700
Fayetteville,NC,Fayetteville,Cumberland,92600,92500,92700,93300,93800,93800,94100,94900,95400,95900,96700,97500
Springfield,MO,Springfield,Greene,111000,111300,111800,112200,112500,112800,113300,113500,113600,113900,114800,115900
Arlington,VA,Washington,Arlington,610500,611500,612200,614100,616700,618900,620100,621500,623700,627300,631500,635500
Irving,TX,Dallas-Fort Worth,Dallas,138500,138700,139100,140500,142700,145800,149600,153400,157000,160800,164400,167400
Gilbert,AZ,Phoenix,Maricopa,280800,281400,282200,283300,284100,284500,285400,286800,287700,288900,290800,291800
Scottsdale,AZ,Phoenix,Maricopa,410300,411000,412300,414100,415800,417200,419200,421100,422200,423500,425800,427400
Rochester,NY,Rochester,Monroe,67200,69100,70800,72100,73200,74100,74600,74300,73800,73400,73000,72300
Winston-Salem,NC,Winston-Salem,Forsyth,112100,112300,112300,112500,113000,113500,113800,114600,115500,116200,117000,117800
Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange,776400,775800,775100,774700,774400,774300,775900,778800,781800,786100,790400,793600
Richmond,VA,Richmond,Richmond City,158200,160100,161600,163200,164000,164400,165400,167500,169900,171900,173400,174700
Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,290100,292600,293800,295000,296300,297300,298400,300300,302700,304700,306300,308200
Oxnard,CA,Ventura,Ventura,418900,421400,423200,424300,425800,426800,427700,430300,434100,437800,439900,441900
Bradenton,FL,North Port-Sarasota-Bradenton,Manatee,192000,193700,195600,197900,200000,202100,204300,206500,208900,211600,213900,215800
Montgomery,AL,Montgomery,Montgomery,78500,78900,79000,78800,78600,78400,78100,77700,77800,78200,78500,78500
Santa Rosa,CA,Santa Rosa,Sonoma,483800,486800,490500,492700,494700,498700,503600,507600,512300,517600,521600,525900
Des Moines,IA,Des Moines,Polk,111300,112200,113300,114000,114500,115400,116600,117400,118000,118900,119800,120700
Reno,NV,Reno,Washoe,281000,283500,286800,290800,293900,295800,297900,300100,302400,305200,308100,310200
Spokane,WA,Spokane,Spokane,148800,149200,149700,150600,151500,152600,154300,155900,157200,158900,160900,162700
Tacoma,WA,Seattle,Pierce,209900,211500,213200,215200,217700,221000,225000,228600,231700,234500,236500,238000
Grand Rapids,MI,Grand Rapids,Kent,112700,113700,114600,115700,116800,117900,119300,120700,122300,124000,125400,126700
Oceanside,CA,San Diego,San Diego,448700,450000,450600,452400,453800,454800,456400,458800,461400,464600,468400,471300
Gainesville,FL,Gainesville,Alachua,138100,138800,140300,142200,144400,146400,147900,149300,151300,153100,154400,155600
Woodbridge,VA,Washington,Prince William,283200,283000,282900,283200,284100,285500,286500,288100,289900,291200,292300,294100
Ocala,FL,Ocala,Marion,105900,106700,107700,108900,110100,111200,112400,113600,114900,116200,117100,117800
Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,702300,707000,710900,714700,717100,720600,725600,731500,737600,743000,747900,753300
Boise,ID,Boise City,Ada,200100,201800,203300,204900,206300,207700,209400,211300,213600,215800,217300,218600
Greenville,SC,Greenville,Greenville,127200,128400,130200,132700,135500,138100,140700,143400,146200,148400,150200,152100
Salt Lake City,UT,Salt Lake City,Salt Lake,270400,272600,274800,278000,281500,285400,289100,292200,295800,300400,304000,306800
Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,733800,734500,735300,736100,736000,736800,739700,743100,745800,749100,752600,755900
Akron,OH,Akron,Summit,50900,50700,50700,50400,50200,50300,50400,50300,50500,50800,50600,50300
Rockford,IL,Rockford,Winnebago,71300,71500,71800,72300,72900,73500,73900,74300,74900,75500,76000,76200
Salinas,CA,Salinas,Monterey,393500,395100,397500,401000,404800,408900,413100,416500,419300,422900,426800,429600
Worcester,MA,Worcester,Worcester,184200,184900,185800,186500,186700,186400,186700,187800,189500,192000,194300,196200
Moreno Valley,CA,Riverside,Riverside,259600,260500,262000,264400,266900,270200,273600,276100,278000,280900,283700,284900
Little Rock,AR,Little Rock,Pulaski,134700,136100,136700,137100,137500,138000,138500,138800,138800,138500,137600,136400
Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,162600,165200,167500,170000,172100,173700,175000,176300,177400,179200,181200,183200
Brownsville,TX,Brownsville,Cameron,74800,75200,75500,75700,75800,75800,76200,76900,77700,78500,79100,79400
Providence,RI,Providence,Providence,154900,157000,158600,159600,160900,162400,164200,166300,168400,169800,170300,170500
Amarillo,TX,Amarillo,Potter,116100,116500,116800,117300,117800,118300,119000,119700,120100,120600,121000,121200
Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,207500,209100,210700,212500,214200,215700,218000,221400,224500,226300,227900,230100
Fort Collins,CO,Fort Collins,Larimer,313900,316600,320200,323900,327300,330700,333700,336000,337900,340000,341700,343500
Evansville,IN,Evansville,Vanderburgh,100300,100900,101600,102400,103300,104000,104700,105400,106000,106900,107600,107900
Yonkers,NY,New York,Westchester,422600,423200,422900,423600,424800,427000,429600,431300,432200,432800,433500,435500
Hayward,CA,San Francisco,Alameda,508500,512100,516500,522100,527700,530100,532100,534900,539500,544200,549100,555000
Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,258800,259800,260800,262500,264900,266900,269300,271700,274600,278700,282400,284400
Chattanooga,TN,Chattanooga,Hamilton,107800,108000,108800,110400,112100,113700,115200,117000,118800,120700,122300,124000
Columbus,GA,Columbus,Muscogee,83100,83800,83900,83500,82600,82200,81900,81400,80800,80100,79300,78400
Aurora,IL,Chicago,Kane,151100,151100,151100,152000,153300,154400,155500,157100,158600,159700,160700,161600
Ontario,CA,Riverside,San Bernardino,349800,352500,354000,355300,356700,357700,358800,360700,362600,364300,365700,367500
Grand Prairie,TX,Dallas-Fort Worth,Dallas,143800,144300,145100,146500,148000,149800,151800,153800,155800,157500,158900,160400
Rancho Cucamonga,CA,Riverside,San Bernardino,440700,444100,446600,449200,451200,452300,453900,456500,458900,461100,462500,463800
Overland Park,KS,Kansas City,Johnson,250900,251800,252500,253400,255400,258400,261700,264700,267800,271100,274200,276800
Newport News,VA,Virginia Beach,Newport News City,155700,156400,158200,160900,162800,163600,164600,165800,166500,166800,166800,166500
Garden Grove,CA,Los Angeles-Long Beach-Anaheim,Orange,508800,510800,512300,513900,515000,516100,518700,523000,528000,533500,538400,541900
Killeen,TX,Killeen,Bell,110600,110900,111400,111600,111700,111800,111900,112000,112100,111900,111900,111500
Roanoke,VA,Roanoke,Roanoke City,138900,138900,138500,138100,137700,137500,137700,138400,139400,140500,141800,142900
Sioux Falls,SD,Sioux Falls,Minnehaha,159000,159200,159100,159300,160200,161200,161600,162200,163400,164600,165200,165700
Tempe,AZ,Phoenix,Maricopa,236400,237300,238400,239700,240700,241500,242800,244700,246500,248200,250400,252300
Vancouver,WA,Portland,Clark,242800,245800,249300,252400,254000,255300,257800,261100,263900,266200,268200,270500
Huntsville,AL,Huntsville,Madison,131100,132100,133300,134800,136200,137100,137300,137200,137000,137100,137800,139000
El Cajon,CA,San Diego,San Diego,434700,435600,435800,437500,439500,440600,442300,445100,447500,449700,453000,456800
Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,239100,240400,241500,243000,244500,245900,247900,250600,253500,255500,257700,260700
Topeka,KS,Topeka,Shawnee,98800,99600,99400,98700,98300,98700,99600,100400,100600,100400,100200,100500
Elk Grove,CA,Sacramento,Sacramento,354700,357500,361000,364900,367600,369700,372500,375500,377900,380700,382100,382700
Pueblo,CO,Pueblo,Pueblo,119900,120400,120900,121800,123400,125000,126200,127200,128000,129000,130000,131200
Fredericksburg,VA,Washington,Spotsylvania,243100,244100,245200,246700,248000,249400,251400,252800,254300,255500,255900,256100
Cape Coral,FL,Fort Myers,Lee,190800,192200,193300,194300,195800,197700,199600,201100,202500,204400,206000,206900
Springfield,MA,Springfield,Hampden,123400,123700,124000,124100,124600,125500,126400,127600,129200,130900,132200,133400
Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,241700,243600,245700,247600,250300,253600,256300,258600,261400,265000,268500,271300
Murfreesboro,TN,Nashville,Rutherford,178600,179900,181300,182900,184300,185800,187300,188800,190600,192700,194100,195300
Clarksville,TN,Clarksville,Montgomery,138300,139000,139100,139000,138800,138800,139400,140100,140700,141100,141300,141700
Naperville,IL,Chicago,Du Page,368000,367200,367900,369500,371200,372200,372800,373400,373800,373900,374200,375100
Peoria,AZ,Phoenix,Maricopa,231100,232200,233000,234300,235800,237400,238900,240500,241500,242600,244200,245400
Fairfax,VA,Washington,Fairfax,496500,497500,499300,501800,503500,505200,507100,509300,512400,514600,515900,516400
Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,470100,472000,473500,475500,476800,477500,479800,483800,487800,490600,493600,497100
Pomona,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,342700,344000,345100,346400,347700,349400,352400,356200,359500,362100,364900,368900
Lafayette,LA,Lafayette,Lafayette,154900,155200,155700,155700,155500,155300,155400,155900,156100,156300,157000,158200
Kansas City,KS,Kansas City,Wyandotte,60200,60600,61400,62500,63400,64700,66000,67500,69000,70700,72100,73600
Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,208000,209800,211200,213000,214700,216100,217500,219400,221700,223900,225600,227100
Syracuse,NY,Syracuse,Onondaga,77300,77400,77200,77000,77300,77500,77600,78000,78300,78400,78900,79600
Salem,OR,Salem,Marion,198200,200000,201700,203800,206000,207800,210400,213700,216500,219000,221500,223500
Hollywood,FL,Miami-Fort Lauderdale,Broward,200600,202400,204300,206600,209600,212400,215000,217600,220800,224600,228000,230600
Paterson,NJ,New York,Passaic,173600,174600,176600,178500,179500,179900,181500,184000,186900,190400,193400,194000
Lakewood,CO,Denver,Jefferson,323300,326100,328800,331500,333900,336100,339100,342500,345200,347300,349000,350700
Dayton,OH,Dayton,Montgomery,30600,30300,30200,30200,30100,30100,30500,31100,31200,31100,31400,32200
Yuma,AZ,Yuma,Yuma,132900,132300,132700,134100,135700,136900,137600,138200,138800,139200,139000,138700
Sunnyvale,CA,San Jose,Santa Clara,1378500,1383500,1391000,1398600,1398700,1393700,1391100,1392500,1398400,1406200,1415700,1430900
Visalia,CA,Visalia,Tulare,191700,192700,193600,195200,197000,198700,200800,202700,204300,205600,206900,207300
Odessa,TX,Odessa,Ector,135300,135500,136600,138400,140500,142500,144000,144700,145100,145500,145400,145000
Las Cruces,NM,Las Cruces,Dona Ana,147200,146700,146500,146700,147000,147300,147700,147900,147700,148700,151400,153500
Charleston,SC,Charleston,Charleston,233200,235700,238600,242100,245600,249200,252600,255800,258800,262300,266300,270200
Beaumont,TX,Beaumont,Jefferson,81000,81500,82000,82900,84300,85500,86400,87000,87900,88900,89700,90100
Pasadena,TX,Houston,Harris,112900,113400,113800,114700,115800,116500,117600,119300,121000,122200,123200,124200
Bridgeport,CT,Stamford,Fairfield,134700,135500,135800,135900,136000,136500,136800,137400,139600,142900,146300,148500
Eugene,OR,Eugene,Lane,241800,242300,244300,246900,248800,251000,253600,256000,258200,260100,262600,265600
Escondido,CA,San Diego,San Diego,435300,437200,438000,440200,442900,445000,447700,451700,455300,458800,463200,467100
Midland,TX,Midland,Midland,198800,197900,196900,196900,197000,196900,196600,196700,196900,197100,197600,197900
Newark,DE,Philadelphia,New Castle,204500,205400,206900,208200,209100,210200,212000,213500,214300,214600,214400,214300
Sugar Land,TX,Houston,Fort Bend,277600,279100,281300,284700,287700,288700,288600,289500,291000,291900,292300,293100
Round Rock,TX,Austin,Williamson,238500,239400,240400,241900,243700,246100,248600,251000,252800,254200,255500,256200
Hampton,VA,Virginia Beach,Hampton City,143200,144400,144900,145600,146900,148600,150700,151800,152000,152400,153500,154600
Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,702700,704000,705300,707500,708400,709200,711600,716000,721400,725700,730500,736700
Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,715500,717800,720000,723100,725400,727700,731500,736700,742700,746200,749100,753500
Columbia,SC,Columbia,Richland,107500,108000,108700,110300,112400,114400,115800,117200,118500,119500,120400,121400
Tyler,TX,Tyler,Smith,120000,120800,121700,122600,123400,123700,124100,124500,125600,127100,128200,128700
Mesquite,TX,Dallas-Fort Worth,Dallas,114800,115400,116400,118100,120400,123700,127500,131100,134200,137300,140200,142300
Fullerton,CA,Los Angeles-Long Beach-Anaheim,Orange,572300,572600,572600,573800,574500,574800,576100,578600,581500,584800,587800,591300
Warren,MI,Detroit,Macomb,97400,98100,98600,99300,100100,100700,101700,103100,104300,105500,107000,108500
McKinney,TX,Dallas-Fort Worth,Collin,264400,266300,268900,271500,274100,276900,279300,280800,282000,283700,285500,287500
West Valley City,UT,Salt Lake City,Salt Lake,200500,202400,204900,207600,210000,212000,213600,214800,216700,219100,221600,224500
Renton,WA,Seattle,King,360900,364000,368000,372000,375800,380200,384900,389400,393800,398100,402500,406700
Canton,OH,Canton,Stark,80800,81500,81800,82000,82000,82100,82200,82200,82400,82700,83200,83900
Metairie,LA,New Orleans,Jefferson,164400,164700,165000,165400,166600,169300,173000,176900,180700,184600,188400,193300
Santa Maria,CA,Santa Maria-Santa Barbara,Santa Barbara,332500,335100,337600,339600,341800,344300,345500,345800,347200,350300,353400,354900
Edinburg,TX,McAllen,Hidalgo,88200,87700,87300,87300,87500,88000,88800,90100,91700,93000,93400,93500
Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,394800,395700,397400,401000,405900,410900,416400,423300,430400,435600,440500,447400
Orange,CA,Los Angeles-Long Beach-Anaheim,Orange,611500,613100,614300,615500,617000,619600,624100,628900,632700,636900,641600,645200
New Haven,CT,New Haven,New Haven,145900,146800,147700,148900,149600,151100,152600,153700,154800,156200,156900,156900
Cumming,GA,Atlanta,Forsyth,270900,272100,273800,275700,277300,278700,280800,283300,285800,288100,290100,291900
Flint,MI,Flint,Genesee,12300,12300,12400,12500,12500,12600,12700,12900,13000,12700,12600,12800
Abilene,TX,Abilene,Taylor,102300,102800,103700,104800,106100,107600,109300,110700,111800,112800,114500,116400
Compton,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,314200,315600,316400,317600,318900,320200,321600,323600,326700,330100,333700,337900
McAllen,TX,McAllen,Hidalgo,117000,118200,119300,120000,120900,122100,123300,124500,125700,126700,127300,127500
Bellevue,WA,Seattle,King,677500,685200,693700,702200,709900,718700,727700,735000,741300,749100,758500,768100
Saginaw,MI,Saginaw,Saginaw,80300,80400,80800,81000,80900,81100,81900,82400,82300,82400,83500,84500
Bloomington,IN,Bloomington,Monroe,149500,149400,149500,149800,150100,150200,150400,151000,151400,152000,152500,153100
Olathe,KS,Kansas City,Johnson,210000,210800,211500,213000,215300,217700,220000,222200,224300,226400,228300,229700
Miramar,FL,Miami-Fort Lauderdale,Broward,229200,230200,230800,231800,234100,236900,239400,241700,244900,248500,251400,254100
Queen Creek,AZ,Phoenix,Pinal,229800,231100,232000,232900,234100,236000,237900,240100,242100,244500,247300,249300
Coral Springs,FL,Miami-Fort Lauderdale,Broward,290100,291800,293800,296300,299500,302700,305700,308300,311300,315400,319300,322700
East Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,359500,362200,364400,367300,370500,373400,377000,381100,385200,388100,391200,395300
Hamilton,OH,Cincinnati,Butler,132200,132700,132700,133200,134000,134200,134300,134900,135500,135800,136100,136400
Hartford,CT,Hartford,Hartford,116200,117800,120300,123200,125400,126800,127300,127300,127800,128800,129200,128900
Stamford,CT,Stamford,Fairfield,277800,277600,278900,281200,279300,276100,274100,273000,273000,274900,275700,275500
Savannah,GA,Savannah,Chatham,114600,115000,116000,116900,117500,117900,118200,117700,117400,117300,117400,117800
Simi Valley,CA,Ventura,Ventura,502900,506800,509900,511500,512900,513800,515100,518500,523100,527000,529100,530700
Concord,CA,San Francisco,Contra Costa,513500,515200,517100,519500,523400,528000,530900,532800,535400,537700,540400,544400
Sterling Heights,MI,Detroit,Macomb,166200,166500,167000,167500,168000,169000,170400,172200,173900,175300,176400,177700
Elizabeth,NJ,New York,Union,196500,197400,199900,201700,201300,200600,200800,201800,203800,207700,212500,215300
