City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Horace,ND,Fargo,Cass,272600,275100,278100,278700,276500,276900,279700,280600,281100,287900,299100,308100
Galen,NY,Rochester,Wayne,82400,82800,83200,83500,83200,83300,84000,84900,85400,86100,87500,88800
West Bloomfield,NY,Rochester,Ontario,151300,151900,153000,153300,154100,156200,159000,161800,163500,165600,167700,168600
New Paris,IN,Elkhart,Elkhart,139100,140400,142100,144400,146900,149300,151500,153400,154300,154000,154000,154900
Fox River Grove,IL,Chicago,McHenry,208200,208700,209000,208900,209000,209900,208900,204800,201600,201600,202400,201800
Windsor,PA,Reading,Berks,192500,193900,194300,193300,192200,191100,190100,188800,187800,186800,186800,187200
Churchton,MD,Baltimore,Anne Arundel,275000,274100,273100,273700,276700,279900,281800,284000,287100,290700,293400,295400
Marysville,PA,Harrisburg,Perry,127800,128200,128700,129300,129800,130200,130700,131100,131000,130600,130400,130400
Lillian,AL,Daphne,Baldwin,158600,158800,158800,158800,158400,158200,158500,158800,158700,158700,159600,161100
Cape Vincent,NY,Watertown,Jefferson,119900,120400,120700,120400,120500,121100,122100,122900,121900,121900,123000,122900
Ragland,AL,Birmingham,Saint Clair,79900,80200,79600,79700,80100,80500,80600,80600,80700,80700,80400,80400
Nanjemoy,MD,Washington,Charles,219700,221900,227600,233800,237800,239400,237500,233700,232600,233700,236700,239400
Shohola,PA,New York,Pike,155700,156600,157900,160300,164000,166900,168100,168600,169800,170200,169300,168600
Stafford,NY,Batavia,Genesee,114900,115000,115300,116200,116900,117100,117500,117900,118300,118600,118400,118100
Geddes,NY,Syracuse,Onondaga,111100,110400,110100,110200,111000,111600,112100,112800,113800,114100,114300,114500
Oskaloosa,KS,Topeka,Jefferson,104500,104500,104800,105100,105500,105800,106000,106300,106400,106700,106900,106900
Springwater,NY,Rochester,Livingston,88800,89500,89300,89700,90700,91100,91100,90900,90800,91200,91600,92200
Spindale,NC,Forest City,Rutherford,47500,47200,47400,47800,48000,48300,48700,49000,49900,50700,51100,51200
Lookout Mountain,GA,Chattanooga,Walker,215700,215100,215500,216000,215300,215000,215700,216600,217100,217400,218200,220700
Murchison,TX,,Van Zandt,110800,111100,111500,112400,112400,111600,111000,111000,110800,111400,113600,115600
Baker,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,125600,126000,127400,129600,132000,134400,135900,138000,141900,145900,148000,150800
Jefferson,PA,Pittsburgh,Fayette,125900,125500,123500,121400,124000,129400,132500,133200,132300,131000,130200,131100
Silver Creek,GA,Rome,Floyd,109500,109700,110200,110900,111100,110900,110700,110700,111400,112800,113800,114300
Wheatland,NY,Rochester,Monroe,149700,152800,155300,158000,160700,162600,164000,164600,164500,165700,168100,170000
Wanatah,IN,Michigan City,La Porte,139300,139900,139500,138000,136500,137900,141100,143800,144900,144800,143700,142900
Spring Grove,PA,York,York,132400,133400,134400,135500,136600,137600,138500,139200,139500,139100,138100,137800
Lumberport,WV,Clarksburg,Harrison,47100,47400,47100,46800,47000,47300,47200,47000,47100,47300,46800,46100
Sumas,WA,Bellingham,Whatcom,207300,206600,206900,207300,207700,209800,213600,218500,223400,226200,229100,235500
Lake City,TN,Knoxville,Anderson,80600,80800,81400,81500,81900,83500,84800,84500,83700,83200,83100,82900
Brothersvalley,PA,Somerset,Somerset,103800,104400,105600,106000,106200,107300,108600,106900,105300,105900,107800,108900
Derby,CO,Denver,Adams,190900,194300,198300,201600,204400,207000,209100,210100,211300,213400,215700,217600
Conemaugh,PA,Johnstown,Cambria,73700,74000,74200,74300,74600,74700,74900,75100,75100,75300,75400,75400
Wentworth,NC,,Rockingham,103900,104100,103700,103500,103200,103300,104000,104100,103800,104100,104600,105100
Brownsville,OR,Albany,Linn,180300,181300,181700,183200,185100,187300,189600,192500,195600,198000,200000,202200
Parker City,IN,,Randolph,68700,69100,69500,69700,69800,70100,70700,71500,72200,72500,72500,72500
Peshtigo,WI,Marinette,Marinette,99000,98800,99100,99700,100400,100800,100800,100500,100300,100900,101400,102100
Westwood,CA,,Plumas,258900,259500,262500,259700,246000,237600,238100,240500,246700,256500,259800,260300
Farmland,IN,,Randolph,73000,73300,73600,74000,74500,75100,75800,76400,76600,76400,76500,76800
Matamoras,PA,New York,Pike,146200,147900,149500,151100,152400,153500,154000,153900,153900,154300,154200,154600
Hollywood Park,TX,San Antonio,Bexar,306000,306400,307000,307000,304300,301300,300600,302400,304600,306100,307400,309800
Ottawa,WI,Milwaukee,Waukesha,287200,287000,287000,288300,291300,295000,299200,303500,305800,307700,309300,309700
Roaring Spring,PA,Altoona,Blair,101400,101300,101500,101700,102700,103800,104800,106000,107100,108100,108700,108600
Del Norte,CO,,Rio Grande,99900,100600,100900,101400,102700,104300,105200,105800,106000,106400,107800,109600
Frankfort,OH,Chillicothe,Ross,99500,98500,97800,98000,98400,98900,98600,98100,98300,98800,98600,98300
Galeville,NY,Syracuse,Onondaga,80300,80200,79700,80300,81900,83400,84400,85500,85900,86200,87300,89000
Saranac,NY,Plattsburgh,Clinton,111400,111800,111800,111400,111000,110500,110200,110600,111300,112200,112900,113200
Richford,VT,Burlington,Franklin,98500,98800,99100,100500,101400,101300,100100,98200,96000,95100,94700,94500
Gueydan,LA,Lafayette,Vermilion,55500,56100,56500,57300,58400,59400,60300,61000,61200,61100,61300,61500
West Dundee,IL,Chicago,Kane,235900,237500,237900,238200,239000,239300,239600,240900,243900,247900,251300,252700
Bolton,NY,Glens Falls,Warren,351400,351700,351900,352800,354200,353900,353700,354500,355200,354400,354200,355200
Duncan,SC,Spartanburg,Spartanburg,131100,131300,131500,132000,133200,134700,136300,138100,140500,143000,145600,148400
Fayette,OH,Toledo,Fulton,70900,71400,71400,71000,71200,72000,72900,73700,74300,74700,74800,74900
