Zipcode,City,State,CountyName,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value,Number of House Build in year,Avg_HomeValue,Employment Rate,Latitude,Longitude,Temp
95828,Florin,CA,Sacramento,60884.0,34.7,45710.0,18029.0,13704.0,22.508376584981274,994.0,178000.0,1983.0,248441.66666666663,44.721108994152814,38.5,-121.41,86.58
95829,Sacramento,CA,Sacramento,26588.0,33.5,80118.0,27986.0,3153.0,11.858733263126226,1311.0,316600.0,2001.0,345091.66666666674,48.92432676395368,38.58,-121.49,86.58
95831,Sacramento,CA,Sacramento,41859.0,45.2,68140.0,38780.0,3371.0,8.053226307365202,1045.0,354800.0,1981.0,395916.66666666674,52.49050383430088,38.58,-121.49,86.58
95832,Sacramento,CA,Sacramento,11313.0,28.2,42652.0,13500.0,3135.0,27.711482365420324,990.0,174200.0,1973.0,208716.66666666663,43.10085742066649,38.58,-121.49,86.58
95833,Sacramento,CA,Sacramento,40029.0,31.4,58008.0,27174.0,7433.0,18.56903744785031,992.0,206500.0,1984.0,254041.66666666663,53.99835119538335,38.58,-121.49,86.58
95834,Sacramento,CA,Sacramento,26560.0,31.7,53728.0,24962.0,5024.0,18.91566265060241,980.0,254200.0,2002.0,311241.66666666674,51.475903614457856,38.58,-121.49,86.58
95835,Sacramento,CA,Sacramento,38847.0,35.9,83150.0,33342.0,2959.0,7.61706180657451,1405.0,304800.0,2004.0,352458.33333333326,53.502200942157685,38.58,-121.49,86.58
95838,Sacramento,CA,Sacramento,37286.0,28.9,40815.0,15562.0,10870.0,29.15303331008958,909.0,151300.0,1976.0,192941.66666666663,40.572869173416294,38.58,-121.49,86.58
95841,Sacramento,CA,Sacramento,19890.0,34.5,40693.0,21140.0,4902.0,24.64555052790347,820.0,187700.0,1973.0,242816.66666666663,45.319255907491204,38.58,-121.49,86.58
95842,Sacramento,CA,Sacramento,32184.0,32.7,44462.0,20289.0,8151.0,25.326249067859806,887.0,169300.0,1977.0,232633.33333333328,48.061148396718856,38.58,-121.49,86.58
95843,Sacramento,CA,Sacramento,47666.0,32.1,66178.0,23479.0,6725.0,14.108588931313724,1157.0,251100.0,1993.0,293108.33333333326,49.09788948097176,38.58,-121.49,86.58
95864,Arden-Arcade,CA,Sacramento,23527.0,45.8,92165.0,54709.0,1647.0,7.000467547923662,1097.0,501900.0,1958.0,494941.66666666674,49.789603434352024,38.6,-121.38,86.58
95916,Berry Creek,CA,Butte,1102.0,54.5,32868.0,18373.0,209.0,18.96551724137931,568.0,170700.0,1980.0,172141.66666666663,32.66787658802178,39.65,-121.4,83.12
95917,Biggs,CA,Butte,3313.0,34.4,52083.0,24464.0,634.0,19.13673407787504,758.0,164800.0,1975.0,155525.0,44.099003923936,39.41,-121.71,83.91
95926,Chico,CA,Butte,38465.0,27.5,39239.0,24871.0,10921.0,28.392044715975555,847.0,274600.0,1974.0,283166.66666666674,51.94592486676199,39.73,-121.84,84.88
95928,Chico,CA,Butte,36374.0,31.8,45011.0,27732.0,8701.0,23.92093253422775,884.0,307100.0,1980.0,296200.0,53.00489360532249,39.73,-121.84,84.88
95942,Forest Ranch,CA,Butte,782.0,61.0,49333.0,44907.0,92.0,11.764705882352946,-666666666.0,352100.0,1980.0,259141.66666666663,39.25831202046036,39.88,-121.67,84.85
95945,Grass Valley,CA,Nevada,25712.0,50.9,43636.0,28969.0,4870.0,18.940572495332926,889.0,313600.0,1973.0,308933.33333333326,42.01929060360921,39.22,-121.06,84.22
95946,Penn Valley,CA,Nevada,9694.0,52.3,62351.0,34184.0,1382.0,14.256240973798224,1209.0,337200.0,1984.0,328291.66666666674,42.94408912729524,39.2,-121.19,84.81
95948,Gridley,CA,Butte,10751.0,36.1,43488.0,20723.0,2063.0,19.188912659287507,650.0,182300.0,1969.0,168683.33333333337,44.619105199516326,39.36,-121.69,83.95
95949,Grass Valley,CA,Nevada,19575.0,53.9,58861.0,31539.0,1484.0,7.581098339719031,1201.0,335700.0,1984.0,350858.33333333326,44.64367816091954,39.22,-121.06,84.22
95953,Live Oak,CA,Sutter,10476.0,35.2,46275.0,20926.0,2218.0,21.17220313096601,667.0,169000.0,1977.0,184400.0,41.77166857579229,36.97,-121.98,73.22
95954,Magalia,CA,Butte,12509.0,47.8,44703.0,21490.0,2304.0,18.418738508274046,790.0,157900.0,1982.0,178425.0,40.18706531297466,39.81,-121.58,84.9
95959,Nevada City,CA,Nevada,17534.0,53.1,59446.0,34302.0,2044.0,11.657351431504505,1047.0,385500.0,1978.0,358675.0,45.80814417702749,39.26,-121.02,83.44
95961,Olivehurst,CA,Yuba,27141.0,30.9,48416.0,18987.0,5055.0,18.62495854979551,776.0,179300.0,1989.0,201241.66666666663,41.9770826424966,39.1,-121.55,86.18
95965,Oroville,CA,Butte,20473.0,37.2,33640.0,17559.0,5358.0,26.17105455966395,664.0,156500.0,1975.0,164116.66666666663,35.969325453035715,39.51,-121.56,83.93
95966,Oroville,CA,Butte,30557.0,41.2,41678.0,21202.0,6292.0,20.59102660601499,759.0,169300.0,1975.0,175741.66666666663,38.367640802434785,39.51,-121.56,83.93
95969,Paradise,CA,Butte,27850.0,51.2,47379.0,27308.0,3793.0,13.61938958707361,839.0,206600.0,1974.0,218075.0,41.34649910233393,39.76,-121.62,84.92
95973,Chico,CA,Butte,35297.0,35.6,57515.0,30720.0,4976.0,14.097515369578149,878.0,282400.0,1987.0,308650.0,49.27330934640338,39.73,-121.84,84.88
95975,Rough and Ready,CA,Nevada,1811.0,50.1,65221.0,27520.0,299.0,16.510215350635008,-666666666.0,276400.0,1978.0,359100.0,36.77526228602981,39.23,-121.14,84.22
95977,Smartsville,CA,Nevada,1730.0,26.6,40313.0,21709.0,160.0,9.248554913294797,1131.0,249800.0,1995.0,306291.66666666674,51.38728323699422,39.21,-121.3,85.35
95982,Sutter,CA,Sutter,3487.0,33.9,77614.0,30465.0,174.0,4.989962718669343,888.0,204000.0,1978.0,206550.0,52.3946085460281,39.16,-121.75,85.46
95988,Willows,CA,Glenn,8663.0,37.3,46830.0,22135.0,1197.0,13.817384277963756,625.0,203100.0,1967.0,160241.66666666663,41.209742583400676,39.52,-122.19,83.28
95991,Yuba City,CA,Sutter,40683.0,32.9,43939.0,20993.0,8276.0,20.34264926382027,742.0,174200.0,1973.0,210708.3333333333,45.39242435415285,39.14,-121.62,85.6
