Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value
01083,ZCTA5 01083,3148.0,36.3,45954.0,22559.0,245.0,7.78271918678526,640.0,200000.0
01084,ZCTA5 01084,154.0,61.5,68750.0,50727.0,0.0,0.0,-666666666.0,315000.0
01085,ZCTA5 01085,41479.0,39.0,63283.0,29597.0,3679.0,8.869548446201692,795.0,223700.0
01086,ZCTA5 01086,690.0,19.2,-666666666.0,3293.0,0.0,0.0,-666666666.0,-666666666.0
01088,ZCTA5 01088,433.0,53.1,61875.0,34560.0,33.0,7.621247113163972,946.0,245900.0
01089,ZCTA5 01089,28575.0,39.1,50649.0,28438.0,3733.0,13.063867016622922,756.0,202400.0
01092,ZCTA5 01092,1191.0,46.8,77150.0,40211.0,176.0,14.777497900923594,334.0,251800.0
01093,ZCTA5 01093,289.0,54.1,84167.0,48793.0,16.0,5.536332179930795,-666666666.0,341800.0
01094,ZCTA5 01094,347.0,53.7,18454.0,29174.0,26.0,7.492795389048991,419.0,179900.0
01095,ZCTA5 01095,14569.0,47.6,95679.0,40989.0,547.0,3.7545473265152034,618.0,287800.0
01096,ZCTA5 01096,2564.0,44.3,73589.0,33768.0,224.0,8.736349453978159,735.0,269800.0
01097,ZCTA5 01097,78.0,19.7,31250.0,9374.0,42.0,53.84615384615385,-666666666.0,-666666666.0
01098,ZCTA5 01098,1117.0,50.0,77083.0,41124.0,65.0,5.819158460161146,631.0,266400.0
01103,ZCTA5 01103,2430.0,33.3,16760.0,21928.0,1333.0,54.8559670781893,771.0,119000.0
01104,ZCTA5 01104,23183.0,35.2,28590.0,18983.0,7215.0,31.121942802915928,640.0,132400.0
01105,ZCTA5 01105,11576.0,30.6,16455.0,13855.0,6260.0,54.077401520387006,627.0,141000.0
01106,ZCTA5 01106,15983.0,46.4,105822.0,52705.0,640.0,4.0042545204279545,1165.0,327700.0
01107,ZCTA5 01107,11474.0,29.1,22956.0,13711.0,5176.0,45.1106850270176,517.0,161400.0
01108,ZCTA5 01108,28449.0,31.4,36890.0,18466.0,8447.0,29.69172905901789,750.0,152200.0
01109,ZCTA5 01109,30139.0,27.4,35076.0,14977.0,8147.0,27.03142108231859,736.0,129300.0
01118,ZCTA5 01118,14293.0,38.6,60295.0,27870.0,2027.0,14.181767298677675,806.0,157300.0
01119,ZCTA5 01119,13091.0,35.4,49083.0,22333.0,1952.0,14.911007562447484,839.0,149700.0
01128,ZCTA5 01128,2695.0,47.6,70078.0,33845.0,58.0,2.1521335807050095,-666666666.0,168200.0
01129,ZCTA5 01129,7220.0,41.5,60776.0,27405.0,1010.0,13.988919667590027,831.0,164000.0
