Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
90293,Los Angeles,CA,Los Angeles,644300,650100,655000,659900,662000,665900,675700,686200,690600,689200,686400,686700
95330,Lathrop,CA,San Joaquin,329100,331800,335400,339100,342300,344700,346300,347700,349400,352000,355000,356700
95110,San Jose,CA,Santa Clara,595800,599300,602400,607500,610800,612100,615200,619600,625500,632400,636800,640600
95817,Sacramento,CA,Sacramento,286300,288000,289700,292200,295400,299500,303200,306300,310100,314500,317800,321300
92377,Rialto,CA,San Bernardino,331300,334000,337400,341700,345600,347900,349700,352000,354100,356100,357300,358900
91746,West Puente Valley,CA,Los Angeles,395800,398300,400500,402900,404500,406300,409600,414000,418500,421900,425800,430400
93280,Wasco,CA,Kern,157700,157300,157200,157400,158100,158300,158800,160000,161400,162800,164600,165600
96161,Truckee,CA,Nevada,508500,509700,509900,508700,509600,514600,517800,519800,523200,527400,531200,537000
95366,Ripon,CA,San Joaquin,378600,381800,385700,391200,395400,397700,400700,404100,407300,410900,413600,413400
96130,Susanville,CA,Lassen,148000,149000,150200,151400,152700,154000,155100,156100,157200,158500,159900,161000
92865,Orange,CA,Orange,579100,578600,578700,579400,579800,581600,585800,590800,594700,598400,602600,607300
93725,Fresno,CA,Fresno,144600,145800,147400,148900,149800,150500,151500,152700,154300,155900,157300,158500
90304,Inglewood,CA,Los Angeles,382800,382200,378800,379400,383200,385300,386900,391600,397700,402300,405200,408500
91203,Glendale,CA,Los Angeles,458800,461400,462900,464300,465600,467800,470900,474200,477000,479100,481100,484200
90212,Beverly Hills,CA,Los Angeles,2335200,2347400,2350800,2362300,2374600,2381100,2391300,2417200,2446300,2465600,2482700,2502300
92844,Garden Grove,CA,Orange,487300,486400,486300,487400,487800,488000,488600,491500,496400,502200,507200,511400
90270,Maywood,CA,Los Angeles,340400,341600,343700,344800,345800,347500,350500,354300,357900,359600,361300,364200
93013,Carpinteria,CA,Santa Barbara,791800,797900,801600,801800,799800,794900,785400,774500,767800,768400,772700,774100
90013,Los Angeles,CA,Los Angeles,519900,521300,529100,537900,542500,547900,557900,562200,565300,571800,578300,579800
93111,Goleta,CA,Santa Barbara,869000,876300,878700,880700,886800,891100,887400,881000,878500,881300,884700,883500
95490,Willits,CA,Mendocino,239100,240600,242200,244200,246300,248500,250700,252200,253700,255000,256400,257200
93110,Santa Barbara,CA,Santa Barbara,991200,994000,999300,1003300,1007500,1013400,1018100,1014600,1007500,1005400,1008800,1007800
90305,Inglewood,CA,Los Angeles,431800,436200,438400,441400,444500,447500,451600,458200,465500,470800,475400,482000
94019,Half Moon Bay,CA,San Mateo,959100,969100,977300,982000,986500,993000,1002300,1009000,1013300,1017800,1024300,1027000
91390,Santa Clarita,CA,Los Angeles,573200,574700,575900,578100,581400,585700,591000,596100,600400,601700,601800,603000
94705,Berkeley,CA,Alameda,1611000,1620700,1628700,1637100,1643900,1643600,1642700,1645300,1651300,1654300,1649100,1644200
93514,Bishop,CA,Inyo,354600,357900,360500,362900,365600,368100,370200,372600,374400,374900,375700,377100
91105,Pasadena,CA,Los Angeles,1030300,1030400,1034000,1040400,1049600,1059000,1069200,1077500,1085100,1088500,1094800,1106900
94503,American Canyon,CA,Napa,453400,453900,453400,452700,451800,451000,452200,457800,466700,473800,479200,486200
90715,Lakewood,CA,Los Angeles,442700,447200,451100,454300,457300,460400,464100,467900,472300,476500,480500,484400
92075,Solana Beach,CA,San Diego,1117100,1121400,1128500,1136600,1141400,1144500,1151400,1160300,1165600,1168700,1184700,1205900
91208,Glendale,CA,Los Angeles,871000,880600,887500,894800,899400,902000,907300,914100,919400,920700,918100,914500
95540,Fortuna,CA,Humboldt,220700,220900,223000,226600,230000,232800,234700,235600,238600,243700,248400,251100
