"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"Champaign-Urbana, IL",189,153200,154900,154900,152900,150000,150000,149900,149900,149900,147900,145000,144900,143000,139900,139900,139900,139900,139900,139925,139900,139900,134900,133900,134000,132000,129900,135000,134900,133000,134900,129900,129900,129900,127000,125000,122900,120000,124900,127900,125000,125900,127900,129900,127950,124900,122950,123900,122000,119900,120000,124900,129900,129900,129900,129900,129900,127250,129250,125000,124900,123400,124900,130000,132500,134900,130000,132900,134900,134900,132000,136000,131900,133500,136900,139900,144900,139900,140000,144900,139900,139900,138750,136900,135900,137900,135000,140000,145000,149900,152000,149900,148917.5,149900,144950,142250,139900,139900,145900,149900,154500,157900,155000
"Tuscaloosa, AL",190,169900,169900,164900,163900,164500,164900,164900,159900,159900,157900,159900,157900,159900,160000,159900,159900,159900,162000,160900,159900,164900,161950,154900,150500,153000,149900,149900,153900,155900,159000,155900,164900,165450,165900,169900,169900,166900,165000,172450,174900,179900,174900,179000,179900,189900,185900,189900,189900,189150,194562.5,197500,198200,194800,193400,189900,189900,198900,199900,2e+05,195650,194950,189900,189000,189000,189900,189900,189900,189900,189900,189900,179900,179900,177450,169000,173000,179500,177500,175000,174900,174900,175000,179900,179900,179900,179900,173900,179000,179900,184900,189900,189900,194900,189900,184900,182900,181450,181950,183900,180197.5,189500,187750,194698.5
"College Station, TX",191,179500,175450,174700,174900,175000,174900,174250,174900,175000,174900,174000,169900,166000,164900,164900,159900,159900,159300,159900,159900,160900,159900,159900,159900,159900,159900,159900,163450,162900,162450,163900,162900,164900,165000,162900,164900,163000,162900,164000,164900,165000,169000,169900,169900,171000,169900,167200,171000,173300,174000,167400,173050,185400,179900,179900,189900,194450,189900,194000,194900,194900,199900,205000,219900,219900,219900,238600,239900,243100,242800,253800,263050,249900,234997.5,229500,239950,240750,249900,261000,269900,269950,265500,265000,279000,284900,282500,289900,294950,289900,294900,283050,284900,289900,279900,278500,268999,265000,266000,259900,259000,255950,257000
"Sioux Falls, SD",192,162500,160000,159900,159825,161450,164800,164900,164900,159900,158000,157900,152000,153900,152500,149900,149900,154900,149750,149900,149900,149500,149900,149900,149800,149900,149900,154000,154900,154900,152900,151900,150000,150000,152500,149900,149500,149900,155950,158900,159900,163750,165000,164900,164900,166900,164900,164900,162900,161000,165000,169900,169990,174800,174900,176400,179900,183000,182500,179900,179900,180000,184900,189900,199900,212000,212900,219900,207773,199900,189900,189900,189900,194900,191825,199700,204900,209900,210000,209900,209700,209900,209900,210000,209900,210000,209900,209900,214900,217700,214900,219900,219900,219950,224900,224900,222800,224900,230000,234900,236950,234900,230000
"Charleston, WV",193,137500,135000,135000,134400,135000,135000,134700,142500,144500,144900,139900,129500,125000,125000,129250,134900,138500,139500,139000,138500,139500,139000,129900,126900,127700,124900,125000,119900,127700,129900,127250,125750,122000,125000,125000,122000,124900,124500,125000,125950,127500,125900,129900,129900,125000,124900,119900,119900,119900,120000,120000,128500,129900,130000,134000,129900,129900,134900,130000,129900,129900,129900,130000,129900,129900,129986,129900,129900,129000,129900,129900,127950,129900,129900,129900,132700,134900,135000,135000,135000,132900,132700,129900,129900,129900,129900,129900,134500,135000,139000,139900,139900,139900,135000,135000,130000,129900,129000,130000,134936.5,134900,134000
"Appleton, WI",194,154900,154200,154500,154800,149900,154900,157900,155000,149900,149900,149900,144900,142900,139900,139900,139900,139900,139900,139900,139900,144450,141400,139900,139900,139900,139900,144950,144500,143900,144900,147500,144900,142000,139900,139900,139900,139900,139900,139900,139900,144900,147900,145900,142500,139900,139900,139900,136950,139400,144000,148950,149900,149900,154900,154900,154250,149900,147900,149900,149900,149900,159650,159900,159900,164700,164900,164900,164900,159900,159900,159900,155000,164900,167250,167500,168800,169900,169899,169900,169900,169900,169900,169900,169900,168900,167250,169999,180000,184700,179900,184900,180000,185000,179900,174900,179900,189900,194900,199900,201700,198900,196900
"Chico, CA",195,245000,249000,239500,230000,235000,235000,230000,229636.5,225000,214900,2e+05,199000,197500,198500,194500,189000,195000,2e+05,199000,195000,197500,194900,189900,185000,180900,179900,179000,175000,185000,198000,199250,2e+05,2e+05,199900,199000,199900,214900,219900,220000,220000,235000,239000,237750,240000,240000,242500,249000,245000,235000,231200,243195,249999.5,256825,254950,259000,259000,259500,252900,249900,254950,250000,255000,259926,260000,265000,265000,259972.5,259000,259000,259000,264450,260000,265000,259950,259975,265000,271490,287795,285000,284999.5,287900,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,287795,295000,304350,3e+05,299500,299000
"Charlottesville, VA",196,289900,289000,285000,285000,285000,285000,279999,279997,279900,279950,279900,279000,275000,275000,275000,279000,279000,275000,275000,274900,270000,269900,269900,265000,269000,269900,269995,279900,279000,275000,264900,269900,269000,275000,265000,264900,277400,278500,289650,287900,291950,289700,294990,289000,289900,292200,299000,294900,289990,298000,299900,299900,299900,297450,295000,293080,290000,290995,299000,299825,299000,309000,309000,312990,317250,317000,319000,319900,320000,319900,315000,315000,319900,315835,324878,325000,325000,324900,324997.5,325000,330450,344945,359000,344000,344000,349900,361470,369500,375000,369990,374379,375000,385000,389995,384990,375000,374900,379000,364990,362766,369994.5,368000
"Claremont, NH",197,239000,235000,234900,229900,230000,230000,235000,234900,234100,239000,239900,239000,239000,239900,240000,238850,239900,239000,239500,239000,238000,234000,229000,229000,229000,226000,229000,219900,224900,219750,219900,219900,219684,219900,219900,219000,219999,220000,224900,225000,225000,225000,227500,225900,228000,225000,224500,224500,224700,219900,225000,226450,225000,225000,225000,224000,223000,219000,219000,219000,217003,219900,219000,219900,225000,222900,219900,219900,219000,219000,219000,219000,215000,215000,219700,220000,225000,229000,229000,225000,224250,225000,224500,224000,225000,224900,225000,229900,239000,238000,235000,234000,234900,235000,239900,239900,240000,249000,248755,240000,240000,245000
"Cape Cod, MA",198,445000,444900,439250,429000,425000,424900,419000,410000,4e+05,410000,399900,399900,399900,399000,399900,399900,409000,409900,409000,409900,399900,399900,399000,399000,399000,399000,399000,399000,399000,399900,405000,406900,410000,414500,415000,414900,414950,422000,425000,425000,425000,429900,439000,429900,435750,429000,439000,439900,435250,429000,440000,439900,435000,439000,430000,434700,429900,434400,439000,435000,439900,430000,438900,439000,449000,449000,449900,459000,450000,449900,459000,450000,449000,459000,450000,465000,469900,474900,483250,489000,485000,484500,482700,479000,479900,489900,485000,495000,489000,485638.5,499000,499000,499500,499000,499900,510000,511450,499900,499000,499000,519000,515000
