"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"United States",0,204000,202900,204500,2e+05,2e+05,199995,199900,199500,199000,196900,194900,189500,185000,184900,187990,187500,189900,189900,189900,189900,189500,188900,185000,182400,180000,184000,185000,187470,189000,189500,189000,187900,185000,184900,184900,182500,184900,189000,190000,198000,199900,199900,199900,199900,199900,199900,199900,199000,199000,199900,208500,214900,219000,219900,219900,219900,219000,217900,218000,214900,215000,219000,222100,225900,230000,234900,232990,230000,233200,232000,232000,229900,229992,232000,239000,244500,247900,249500,249000,247000,248500,249000,245000,244000,242000,249000,250000,259000,262900,265000,264900,260000,261251,260990,260000,259900,259900,265000,269900,275000,279000,279500
"New York, NY",1,399000,398500,399000,398000,399000,399000,399000,398900,398876,395000,389900,385000,379000,369990,379500,379000,379000,375900,370000,369000,368900,360000,359000,359000,359000,359000,359000,369000,369000,368000,365000,359000,359900,359000,355000,349990,350000,359900,365000,369900,375000,369990,369000,365000,365900,365000,369900,369000,369900,374900,379900,389000,397947.5,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399999,399995,415000,419900,417450,419000,419777,418945,410000,425000,428999,425000,439000,439000,439000,439000,430000,435900,436995,439000,434900,439000,448995,449000,450000,465000,469000,469000,455000,460000,465000,469900,469000,465000,488888,489900,490000,499000,499000
"Los Angeles-Long Beach-Anaheim, CA",2,440000,429900,429900,429900,434900,434900,429900,439000,420000,409000,4e+05,397000,389000,387900,389000,389900,394900,395000,395000,389900,380000,375000,369000,359900,359900,360000,369000,375000,389000,399000,399900,405000,405000,400100,410000,419000,425000,440000,469000,495000,505000,525000,529000,529000,529000,525000,518880,509000,499990,518000,524900,539000,549000,550000,556500,554900,558888,549900,550000,540000,539000,549000,565000,580000,599900,609000,608000,608000,609000,609900,599950,599999,599999,619900,629000,639000,646147.5,649900,649000,649000,649000,649000,649000,640000,648598.5,649888,659900,679000,685000,680000,680000,675900,675578,675000,674900,669000,675444,691990,699000,699900,709331,719000
"Chicago, IL",3,239000,239000,239900,239000,238900,237900,229900,229900,220000,220000,219000,208900,199900,199900,199900,199999,204999,201000,199900,199500,198000,190000,185000,179900,179900,179900,184800,185000,187500,186900,180000,179900,179900,179000,179000,174900,174900,179900,185955,194900,199900,208000,204900,2e+05,204900,199900,199900,195000,194000,199900,215000,222111,229900,231800,229900,229000,225000,224000,219900,215000,210000,219900,229900,232500,239900,240000,239900,239900,237000,235000,230000,228900,228400,237700,248568,250000,257900,259900,257000,250000,250000,250000,249900,245000,245925,254900,264900,269900,270000,274900,269900,268500,267900,265000,264000,259000,259900,272735,279000,284900,285000,286990
"Dallas-Fort Worth, TX",4,175000,175000,178030,179900,180000,180000,179900,177500,179900,179900,179900,175000,173900,174550,174900,174900,178000,178500,179500,179000,175000,177990,176990,175125.5,175500,179200,179000,179900,184900,185000,183990,180000,179900,180000,184900,185000,184900,189500,198000,199998.5,205900,209000,205499,204990,204900,204990,202990,205990,209900,214976,219900,225000,230000,225000,225000,235000,231450,235000,239775,249900,254900,258990,270000,270000,265000,262990,259500,259900,259999,267500,269900,277994.5,279900,275000,285000,289000,290000,291832.5,289990,290000,295000,3e+05,299500,299900,3e+05,309900,315000,320000,324900,323000,319900,317971,319900,319900,317592.5,319000,322960,325532,329000,330000,331990,329500
"Philadelphia, PA",5,239900,239900,244000,240000,244900,240000,239900,235000,234900,229900,229900,224900,221250,221500,224900,225000,228000,225900,224900,224900,219900,219000,215000,210000,210000,214900,219555,219900,219000,217900,214900,212000,209898,204900,2e+05,199900,199900,2e+05,209900,215000,221990,224900,219000,210000,211900,210000,209900,210000,2e+05,205000,215000,224900,225000,227000,223900,219990,222000,219900,219900,214900,209900,214900,220000,229000,234900,230000,229000,225000,228650,224900,220000,215000,212500,215000,224900,229900,234900,237900,230000,229900,229900,229900,225000,215000,214900,219900,226000,235000,239900,239999,239990,238500,239900,240000,239470,229900,229000,231000,239000,246900,250000,259000
"Houston, TX",6,169000,169900,169900,169900,170000,172000,169900,169017.5,174000,171950,173775,169950,169900,169900,169990,169900,170000,172900,170000,170000,167900,169000,165640,168000,168500,169900,170000,173990,175000,175900,175000,175115,175950,175000,178990,182000,183000,190000,195900,199145,2e+05,205000,205000,206073.5,209900,215990,212000,214000,216995,225000,229900,238990,240000,243900,244900,249792.5,251654,255990,262490,274900,281990,284990,289537,296037.5,289000,279900,290000,295000,295000,299000,299000,304330.5,303990,290112,295990,295883,294900,295000,293000,289900,289000,289900,285900,285380,286995,289900,290524,295000,295990,295000,290000,290000,290000,289900,289900,291990,294900,295000,297000,298950,298764,295300.5
"Washington, DC",7,315000,319000,320000,329000,325000,324900,319900,314900,3e+05,305000,3e+05,295000,286000,289900,299100,299990,315000,319900,319900,315180,314900,315000,309500,3e+05,306900,315125,328200,339900,349500,349900,349000,340994.5,344990,345000,348600,339000,339000,349000,357990,369900,379900,379900,375000,369900,371209,369900,365000,360000,359000,364850,375000,385000,395000,394000,389900,386250,389000,387900,384900,375000,370000,374900,385000,395000,399000,399000,379000,389000,389990,389000,384000,379990,384950,384990,397500,410000,414995,414900,409900,399999,399999,4e+05,4e+05,399900,399000,4e+05,419990,429900,430000,429990,425945,420000,420000,419998,419900,410000,410000,419900,429900,439000,439900,439500
"Miami-Fort Lauderdale, FL",8,250000,249984,245000,239000,235000,229000,225000,220000,210000,208900,215000,204995,2e+05,209000,210000,2e+05,214000,217900,219900,224900,225000,225000,228000,229000,230000,234990,239000,230000,229000,230000,239000,239000,240000,208050,212500,215000,225000,235000,239000,242000,249000,248000,249000,244900,245000,248000,259000,254900,255000,259000,259000,259000,259900,265000,260000,264499,265000,265000,277000,279000,279000,279500,289000,285000,275000,279900,295000,298999,299899.5,299900,313060,315000,315000,315000,310000,325000,325000,329000,330000,330000,335990,339000,339000,339000,335000,339000,339934,344000,349000,349000,349800,349000,349950,349000,349500,349822,349000,349900,349900,350000,355000,356490
"Atlanta, GA",9,180000,179900,179999,180000,179900,176900,175000,174900,169900,169900,168800,159900,156900,155000,154900,150000,153000,153900,150000,150000,149900,147990,142900,139900,139900,139900,144900,145000,149900,150000,155000,159000,159900,164000,165995,168000,169900,175000,179900,189000,192000,196000,198000,195000,198900,197000,192500,189900,189000,194500,199900,209000,212000,219000,219645,215000,212901,209900,210000,204900,204900,207972,209900,214500,219500,220000,219900,224800,224900,224900,223990,224710,224900,225000,229700,235000,240000,244820,244840,240000,240000,244885,240000,239900,239900,240000,250000,259900,263900,265000,264900,260990,263795,265000,265000,265000,269900,274900,279896,286905,290000,289900
"Boston, MA",10,341000,349000,349900,349900,349900,349900,349000,340000,339900,339900,335000,325000,320000,319900,325950,330000,340000,345000,339900,334900,335000,329900,319900,310000,319900,327997.5,336500,349000,349900,349000,339961.5,339900,339900,339900,339900,337600,339000,345000,350000,365000,370000,375000,369900,359900,369000,369900,369900,360000,359900,377000,379900,389900,395000,395000,389000,379900,384900,389000,386900,379900,379900,380000,389900,399000,399900,4e+05,399900,395000,399900,399900,399900,399000,399000,409000,429900,439900,444996,444900,439000,429900,439900,449000,449000,447000,445000,459000,475000,479900,489900,489900,479240,469900,479000,479900,479900,475000,479000,489900,499900,509900,519000,509900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,649000,639000,599000,599888,599000,583000,575000,575000,599950,625000,645000,655000,649974.5,649000,628000,629000,625000,610000,585000,589000,625000,659000,689900,699000,699000,695000,679000,688000,699000,698000,675000,659000,699000,729000,750000,759000,750000,738000,708944,729000,739000,715450,699000,699000,735000,757000,775000,789000,775000,749000,729888,747000,749800,745000,699999,699000,749000,779000,799000,799950,799500
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,124900,130000,142000,154900,159900,159900,159900,156900,153900,145900,139900,139900,145000,150000,159900,162000,168900,165900,164900,164900,159900,159000,150000,149900,149999,159900,169500,178912,179900,182500,179900,176500,176900,174000,170000,167900,172900,181000,190000,199900,2e+05,199900,199900,199900,194900,186000,180000,179900,185000,192950,205750,210000,219000
"Riverside, CA",13,206900,207000,210000,212750,214900,214000,209900,210000,210000,209900,209900,2e+05,199999,199000,199900,199900,199900,199900,199000,199000,199000,199000,198935,198500,197900,198710.5,199000,199900,2e+05,204900,208000,210000,215000,220000,225000,230000,234900,240000,249900,253000,260000,269900,275000,279900,288000,289000,289500,290000,295000,297950,299800,3e+05,309900,310000,309900,309900,305900,3e+05,305000,308000,310000,313341,318000,319900,324500,325740,325000,325000,325000,329000,329999,332500,335000,335900,339000,340000,345000,347000,349000,345000,340000,340500,344900,346500,348900,349000,349900,350000,355000,358000,355000,350990,358990,359900,364000,365000,369000,370000,375000,375000,380000,385000
"Phoenix, AZ",14,169900,165500,163000,159992.5,156400,150000,149000,145900,144000,140000,139900,137000,135000,134252,134500,133000,134900,135000,135000,139900,139900,140000,144990,145000,149900,154900,161862,171900,174900,175000,175000,176900,179000,182000,186939,189900,194800,199900,208181,215000,221990,224900,225000,221000,224000,225000,225000,225000,229900,230000,236900,239856.5,240000,243990,239900,239900,240000,244900,244900,245000,247000,249000,253316.5,260000,265000,264900,258990,265000,265000,268900,269900,269900,270000,270093,274900,275000,279000,279800,276195.5,275000,275000,275000,275000,275000,277500,279900,283900,289000,289900,289000,287500,285000,285000,289000,289000,289000,290000,294900,295000,299000,299900,299900
"Seattle, WA",15,319950,317900,314950,310000,315000,314999,309950,309900,299967.5,299950,296990,288000,275000,269990,269950,262000,260000,264950,264000,261000,260000,250000,249950,244950,240000,249500,259000,272900,279950,289950,294995,289999,290000,289900,286997.5,279950,279900,288482.5,296500,3e+05,324000,329900,334950,329995,335000,335000,324950,319950,315000,319625,325000,335000,335000,350000,350000,350000,349999,349800,339950,329900,327500,334970,349900,355000,368384,370000,369500,369950,370000,369950,364950,359950,364000,365950,379950,395000,399950,4e+05,399950,399000,399900,399950,399500,395694,395000,4e+05,420905,432450,440000,447825,447000,439950,444950,450000,450000,449990,450000,469000,488562,497900,499950,5e+05
"Minneapolis-St Paul, MN",16,210000,209900,207500,199997,2e+05,199950,199900,197500,192000,189900,184900,175000,169900,169900,169999,173900,178500,179900,179900,179900,179900,178900,174900,169900,169000,172200,178900,179900,184900,189900,189000,189900,189000,189000,189900,189900,189900,199900,204900,210000,219900,224900,224900,224900,224900,225000,220000,219000,214900,219900,229900,229900,239900,240000,240000,241900,244950,239900,239900,239900,241990,249900,249900,249900,258900,259900,259900,259900,260000,260000,264900,264995,269900,268900,270000,269900,269900,269900,269900,268632,269900,269900,277000,284900,289900,299000,295000,295000,299000,298900,295000,291482.5,299000,299900,3e+05,317990,325000,334900,329900,325000,320913,319000
"San Diego, CA",17,399000,399000,399500,399999,4e+05,399900,399900,403000,399000,389945,385000,374900,365599,358000,355000,365000,370000,374900,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,364500,370876,375000,377250,375000,379900,379000,380000,389900,399000,419900,430000,449000,450000,460000,460000,459900,458990,450000,455000,460000,469900,479000,494900,462900,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560000,560000,565000,569000,570000,579900,575000,575000,575000,580000,586000,589000,590000,585000,584999,580000,575000,575000,579000,579900,585000,598500,599900,599000,599000,599000,598000,595000,595000,589999.5,594900,599000,609000,619000,649999,650000
"St. Louis, MO",18,159900,159900,159900,159900,159900,159900,159900,158900,157900,155000,154900,149900,145000,145000,147900,149900,150000,151000,150000,149900,149900,149900,149900,144900,149900,147500,147500,149900,149900,149900,149000,147500,145000,144900,147000,139900,139900,144900,149900,150500,154900,154900,150000,149900,149900,149061,147000,144900,144900,148600,150000,155000,159900,159900,159000,156900,155000,154000,149990,149900,149900,150000,153900,158500,159900,159900,159900,158000,157500,154900,154900,149900,149999.5,154000,159900,169900,170000,169900,169900,168000,167000,165000,164900,159900,159900,160000,169000,175000,184500,188000,187500,184900,184500,180000,179385,174999,175000,179000,184900,189999,193000,194900
"Tampa, FL",19,169000,165000,164900,162900,159900,159000,154900,150000,150000,149900,149900,144900,140000,139900,140000,139900,140000,142000,140000,140000,140000,143000,140000,139000,139000,139900,140000,139900,142500,145000,147000,149600,149000,149900,150000,150000,153700,159000,159900,162500,168000,169800,170000,169900,171000,173000,169900,169100,169900,172500,175000,179000,177000,170000,183000,184990,184990,184900,185000,181990,189900,189900,189825,189900,194800,197990,199500,209900,212470,214500,215900,214900,215000,214900,219900,224000,223850,224900,224999,220490,224000,225000,225000,225000,229900,234000,237400,239990,249000,249000,249000,246025,249900,249000,249500,249900,249000,249900,249990,254500,259900,259900
"Baltimore, MD",20,249900,249999,250000,259000,259000,257000,250000,249000,245000,239900,239900,229900,225000,225000,229900,237500,244900,247500,245000,242025,240000,239900,239000,235000,233500,235000,246700,249900,250000,250000,250000,250000,249900,249000,244900,239900,238300,239900,249500,253000,265000,269900,269000,265000,265000,265000,255000,255000,249900,250000,259900,269900,275000,275000,275000,274500,275000,265000,259900,252000,249900,252000,259900,265000,269900,269900,264900,265000,265000,259900,255000,250000,250000,250000,260000,275000,279900,280000,279900,275000,275000,272500,269900,259900,259500,265000,279900,295000,299900,299100,297500,292300,290000,289900,285000,279900,275000,279900,289900,299990,306615,312900
"Denver, CO",21,259900,259000,255000,255975,259900,259900,257500,260000,254900,250000,249900,239000,235000,239000,239900,241150,249900,249900,249900,249900,249900,249000,245000,240000,240000,245672.5,253945,259000,264000,265000,264900,262000,262900,262900,260000,260000,260000,269900,274999,280000,289900,294500,299900,299000,3e+05,3e+05,3e+05,309900,310000,323500,329900,335000,339200,347900,345000,349000,350000,359000,361245,375000,383975,383412,384900,392950,391495,389900,392000,389900,395000,395000,395000,399900,414200,415000,419970,424900,422500,420000,415450,410995,415000,410000,409900,415000,416990,425000,439000,445950,437880,437500,439000,439000,439900,435000,425000,429900,435000,444925,446950,448990,448000,442916
"Pittsburgh, PA",22,139900,145000,147500,145900,149800,149900,147000,144900,144500,139900,139900,139900,139900,139900,139900,139900,140000,142900,139900,139900,139900,139900,139900,139900,139900,139900,139900,143500,145994.5,146900,142000,140000,139900,139500,139900,138500,139900,145250,147900,149900,149900,149900,149900,149000,149000,143000,140000,140000,144000,144000,147710,154900,159900,159000,154900,150000,149900,159900,149900,149900,149999.5,150000,155000,159900,164900,167500,164900,159900,159900,159900,155000,154900,154000,149900,154900,159900,164900,165000,160000,159900,159900,159762,155900,154900,150000,154900,159900,164994.5,169900,170000,170000,169900,169900,169900,169900,165000,169000,169900,174900,179900,179900,180000
"Portland, OR",23,272000,269900,265000,265000,265950,265000,264900,259900,250000,249900,249000,239900,238000,233500,234900,234500,239000,239900,240000,244900,249000,240000,235000,229900,229900,229900,231950,239000,239900,247992.5,249900,250000,249900,249900,249900,249900,249900,252995,259900,269900,279000,285000,289000,287000,284900,284900,279900,277250,279000,282522.5,289900,295000,294900,299900,3e+05,3e+05,299900,297671,296900,295000,299000,299999,309900,316900,322000,325000,325000,325000,329500,329950,333000,329990,330000,335000,345000,350000,359900,367000,369900,369900,374900,374950,377000,379900,385000,389900,399000,4e+05,409990,415000,415000,411872,410550,410000,409900,414900,415900,419900,425000,429999,434900,434970
"Charlotte, NC",24,189900,190000,189900,189900,189000,189000,185000,184900,183900,182000,179900,175000,174900,174900,174900,174900,175000,178900,175900,175000,174900,174900,174500,170000,169900,174000,175000,175000,175000,175000,174900,175000,172500,171500,169900,170000,174900,182600,188000,194500,198000,198500,198500,195495,196000,199500,195000,194900,193900,196000,209000,214900,219000,218900,217000,215000,213990,209900,216990,215000,219900,224900,225000,230945,239000,239900,245000,241999.5,238000,245000,249000,239900,253990,259000,265990,265550,269900,274900,279000,271990,274900,275000,273370,279000,271990,272962.5,276490,288990,289990,289900,285000,282990,287930,289900,289900,292000,295000,298990,299900,299000,299000,298500
"Sacramento, CA",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329425,327950,330000,334000,320000,329000,335000,349000,354950,359000,365000,369000,369900,365000,365000,358500,350000,309000,354000,359990,369000,375000,379000,379900,379900,379900,379900,385000,385000,386000,389989,391360,399000,400740,409000,413530.5,409000,405000,399999,399900,399000,399225,399950,409000,424900,425000,424900,424900,419900,419000,419000,415000,412995,410000,413945,420000,425000,429000,435990,439000
"San Antonio, TX",26,165942,168367.5,169000,169700,172000,174900,171741,169900,169900,172000,169900,168900,169000,169000,169900,169658,170000,172990,172841.5,169900,166900,168000,166995,169245.5,168900,169900,170000,174877,177900,179500,176000,176927.5,177904,178000,178000,179000,179900,185990,189900,192992.5,195000,199000,199000,199134.5,199999,205634,204999,209900,211308,218992.5,220200,224900,230000,225500,225000,235000,230000,229900,229990,239865,243495,245707,244490,249990,250000,255990,260750,259990,262990,259900,259990,262990,264450,256990,260100,262997.5,260000,262925,262500,260990,259900,264950,262000,259700,259900,265000,272298,275000,274990,276990,275990,275000,275000,267990,266992.5,266990,265900,263900,261990,266517.5,267500,269000
"Orlando, FL",27,169900,169500,165000,164500,159900,154900,150000,150000,153750,150000,150000,149000,146500,142900,146000,146000,149900,149900,149900,149900,149500,147925,144900,140000,140900,140000,144990,147900,150000,154900,155990,158995,159900,160000,164000,167900,169999.5,175000,179000,185000,189000,194900,195000,195000,199500,199999,199500,199000,199500,199999,209900,208000,2e+05,197000,215500,219000,219000,217500,219900,218990,219900,219900,219900,219899,224500,225945,229000,240000,240000,242759.5,244990,244990,245000,244900,249900,251335,248840,249500,250000,249900,250000,249999,249900,250000,259990,262483,266900,270018,275000,275000,277000,279000,283000,279000,279900,279900,279900,280000,285000,287562,289900,289900
"Cincinnati, OH",28,149900,149900,149900,149900,148500,148500,144900,144900,145000,144500,142500,138000,135900,134900,135000,135000,139900,140000,140000,139900,139900,139900,144900,140000,139900,139900,140000,144000,144900,148900,145000,145000,139900,139900,139900,139900,139900,139900,144900,144900,149500,149000,149900,146205,145000,146700,148900,142900,145000,146500,150000,159900,165000,174900,172500,169900,172995,169900,169900,169500,169900,172000,172990,174900,179900,178900,178900,175900,184900,179900,179500,175000,179844,175000,170000,179900,185000,185000,189900,182000,183500,182900,179900,179850,179500,179900,189000,194900,199900,2e+05,199900,2e+05,199900,199900,199900,199372.5,2e+05,202990,209900,215000,219000,219500
"Cleveland, OH",29,129900,133000,134900,139000,139836,138900,135000,134900,134900,129900,129900,127000,124900,125000,124990,124900,129500,129900,129900,129900,129900,127000,129900,125000,125000,128000,129000,129900,129900,129900,129900,129900,125000,124900,124900,122500,119900,121500,124900,125900,129900,130000,129900,129800,128000,125000,125000,122900,124900,125000,129900,134900,135000,138945,137500,135000,132000,129900,129900,126000,128000,129999,135000,138000,139500,139900,139850,135000,134900,132950,131950,129900,129900,134900,139900,144900,147500,149900,149500,145000,144900,142000,139900,138000,139000,139900,148450,150000,159900,159900,159900,159900,159900,158900,154999,149900,151569.5,155000,159900,169000,169900,169900
"Kansas City, MO",30,157500,158950,159900,159900,159900,159850,156800,155000,154900,153900,150000,149800,145000,145900,149900,149950,153900,154900,152500,150000,149900,149900,147500,144900,144900,144900,149000,149950,149000,143975,139900,138000,134950,134000,134900,130000,129900,135000,140000,148200,149900,150000,149900,148000,145000,142500,140000,138000,135000,138802.5,146500,153500,158500,159900,158900,155000,154900,152500,150000,149900,149900,150000,169999,175000,175500,178000,175000,174900,174900,175000,175000,169974.5,175000,180000,189900,199900,2e+05,205000,2e+05,199750,195000,198585,199000,197900,197500,205000,216000,225000,225000,229900,229000,225000,225000,227000,230000,229900,235000,241780,245000,249950,250000,249900
"Las Vegas, NV",31,157849.5,159500,156900,154900,150000,149900,145000,142000,142000,139900,139000,131668.5,130000,130000,130000,129500,128900,127500,126990,129000,128000,126500,125900,125000,125000,126900,129900,130900,140000,145220,139700,135000,138000,139900,139900,145000,149000,149900,150000,155000,160000,165000,162000,175000,179900,180000,184500,180000,179999,181750,187750,189900,192500,195000,195000,201950,207267,207819,206000,208000,208500,210000,215000,219900,225000,224999,225000,227500,229900,229900,229900,229900,229900,225000,230000,235000,239900,243000,245000,248900,249900,249990,250000,250000,255000,259900,263484.5,269000,270000,275000,279999,280000,285000,285000,288888,289900,290000,294888,290565,296840,299000,299000
"Columbus, OH",32,158500,158900,159000,159900,159000,156900,153600,153500,150000,151224,149900,145000,140000,142900,144900,145900,149900,149900,149900,149900,149000,149900,149000,140000,139900,140000,144900,149000,149900,149900,149900,148000,144900,144900,139900,138995,137500,139900,142900,148790,151500,154000,154000,153900,153000,154000,152000,149900,147900,149900,157900,159900,166900,169900,170000,169900,169900,169900,168000,166500,167500,169900,174000,179777,188400,189900,189900,189888,189900,187900,187900,179900,184900,189900,189900,199900,202000,204990,204900,199900,199900,199900,199900,195000,195900,199900,219000,225000,230000,231900,230990,230000,229900,238990,229900,233990,239200,229998.5,229990,237900,240990,244700
"Indianapolis, IN",33,134900,134900,135900,135900,136900,138900,136900,135900,139000,139900,139000,133900,132500,135000,135000,135000,137900,139900,139900,137000,135000,135000,134900,134000,130900,132000,134900,135000,135000,138000,136900,135000,134900,133333,132900,130900,130000,135000,139900,144900,145000,149000,147900,144950,144990,145000,144900,139900,139900,144900,150000,154900,159500,162500,159900,159900,157000,155000,154900,150000,154900,154900,158000,159900,165000,165000,164900,159900,164900,159900,159900,155000,159900,156000,159000,160000,165900,169900,169900,169900,169900,169900,165000,165000,165000,166900,174900,187000,195000,195990,199900,199900,202500,200990,203900,208000,214900,219900,223990,219900,227995,229900
"San Jose, CA",34,569900,575000,570000,579900,575000,579950,579000,579000,550000,548700,527175,499950,499000,518500,525000,534999,549000,549992.5,549000,545000,539900,529650,515000,494000,495000,499000,515000,539900,550000,575000,595000,589000,585000,585000,595888,599000,595000,639000,663499.5,679000,698000,695475,688000,675000,670000,659950,655000,650000,650000,683995,699000,716950,735000,727500,718000,705000,704392,699888,698000,679000,695000,740000,775000,799000,819000,838000,829900,820000,819000,818000,799000,799000,799000,825000,880000,888000,888000,888000,878000,868000,868000,856575,848694,824894,802164,839900,890000,898000,899950,899000,899000,9e+05,920000,948888,930000,899900,928000,998000,999950,1066204.5,1099999,1099000
"Austin, TX",35,212900,212000,212000,213900,217000,218000,212400,212000,215072,215000,218000,212990,205000,205000,210000,214900,215000,210000,210000,209900,200007.5,199999.5,199999,199900,199995,208000,215000,219900,220000,223995,222500,219500,218500,219500,223000,225000,227124,235000,238995,240000,245000,249500,249900,249500,252000,259000,260830,262500,269500,275000,279990,291043,299000,299900,296117,299900,299000,297108,292060,302458,303838,314439,315725,320000,324900,325000,324990,325000,325000,333990,331185,340000,335990,329900,334950,330000,330000,339500,335000,333575,330000,336945,330315,329000,326997.5,334000,339000,345000,347000,345759,344230,339900,336995,335970,329990,329621.5,325000,325900,331900,335000,337995,338865
"Virginia Beach, VA",36,244200,240000,241000,239900,239900,238700,235000,230900,230000,229189.5,226999.5,224900,220000,223550,220000,219900,224900,224900,224000,224900,223000,219900,219900,219900,219900,224500,225700,225000,225000,224900,223450,220000,215000,217900,217000,219900,219900,223000,224900,239000,230000,234500,234500,229900,234000,229900,228900,227500,229700,229900,237900,240000,244099,243475,244500,240000,239899.5,235000,234949.5,234000,235000,240000,241899,245000,247500,249900,247500,245000,245000,244900,241480,240000,247500,249000,249000,249900,253800,251000,250900,250000,249900,249900,248650,247000,249900,249900,250000,260000,264327,264898.5,261900,259900,259900,259900,259990,259900,259900,259900,265000,269900,272980,275000
"Nashville, TN",37,189000,189900,189900,186900,187900,184900,182943.5,179900,179995,179900,179900,179000,174900,170000,172500,172900,174991.5,174900,174900,174900,172300,172095,173000,169900,169900,169900,170000,174900,174900,175000,177450,175999.5,175900,179900,179900,179900,179900,189000,189900,195000,199900,199900,2e+05,199900,204900,205000,199999,206806,209000,211100,219900,225000,229990,229900,229900,228900,229900,234900,236995,240000,245000,249900,267900,269976,264900,269900,267900,269000,276900,275000,280990,285900,299000,295000,294900,299900,300450,300945,299900,299900,299900,299900,3e+05,3e+05,299900,302990,317900,329900,339900,339900,334900,330000,329900,330000,335900,334900,329900,337157.5,334900,339900,334500,333500
"Providence, RI",38,289000,279900,279000,276900,275900,272900,270000,274900,269000,259900,259000,249900,249900,249000,246000,239900,239999,244900,239900,239900,239632,235000,229900,229000,229900,229000,234900,239500,239900,242900,239900,240000,244900,244900,244900,239900,239900,244900,245450,253000,256900,259900,259000,259000,259900,256900,254900,254900,249900,259000,256014,262000,269900,269000,269900,269000,265000,259900,259900,254900,254000,259000,259000,262900,269900,274900,278500,275000,269999,269900,269900,269000,268000,265000,269999,275000,285000,289000,289900,285000,285000,285000,279900,277000,274900,279900,289000,299900,305000,309000,3e+05,299900,299900,299000,299000,295000,289900,299000,299900,310000,315000,319900
"Milwaukee, WI",39,198900,199000,199800,199800,199900,199900,199000,199500,197000,195900,189900,185000,180000,183790,179900,180000,184967,184850,184900,184900,179900,175000,172500,169900,168000,164900,165727.5,168900,169900,169900,169000,166500,164900,164900,164900,159900,160000,169900,173900,175900,179900,184400,184900,179900,179900,179900,179900,174900,169900,169900,174900,182907,189900,195000,194900,194900,193500,189900,184900,179900,179900,184000,187200,194500,209900,209000,209625,204900,206490,2e+05,199900,195000,194900,196900,199900,214900,219000,224900,236900,234900,229900,229900,224900,220000,219900,224900,224900,224900,229900,234500,225000,224900,219900,215000,214000,205000,209900,219000,225000,234000,239900,245000
"Jacksonville, FL",40,189900,189500,188000,184900,180000,179900,179000,179000,178000,175000,179000,175000,173920,169950,170000,169900,174900,174900,174940,174900,170000,170900,170000,169900,169900,169900,171990,173900,173990,175990,179000,177990,175000,179000,179900,180000,185000,188990,199000,199999,209240.5,210000,205900,201990,199900,199900,197900,195000,196990,199900,203600,209900,215000,215990,214990,215000,215000,211150,212900,210000,214386,214500,215000,220000,224000,224990,224990,227400,229000,225000,225990,226750,229900,229750,238000,240000,244500,246990,239888,235990,235000,235000,233945,232557.5,237990,242500,249900,254900,259000,258103,258022,255000,259900,259990,262945,262242.5,264900,269000,269000,268500,269900,269900
"Memphis, TN",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152500,150000,153000,148900,150000,155000,155000,159000,158000,159000,155000,150000,149900,149000,149900,147500,150000,155000,164900,168800,169900,160000,155000,157500,155000,153000,154000,152900,155039,164900,169900,172900,178999,175000,174900,175000,170000,168500,160000,160000,165000,172900,179900,180000,185500,185000,189000,187900,183250,174849,169900,169900,175000,185000,189900,194900
